com.samsung.shealth.tracker.floors_day_summary,6302031,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-24 04:58:50.898,2024-10-24 04:58:50.898,10,1,eyJR0JcLIT,com.sec.android.app.shealth,3367f676-d3c5-45b6-aeb0-be153e4d9d85,1707264000000,
62810050,,62810050,2024-10-24 04:58:50.910,2024-10-24 04:58:50.910,1,1,eyJR0JcLIT,com.sec.android.app.shealth,b5e0688e-a8e6-4de8-bb6b-36463ae91d82,1689379200000,
62810050,,62810050,2024-10-24 04:58:50.920,2024-10-24 04:58:50.920,2,1,eyJR0JcLIT,com.sec.android.app.shealth,3b3236b5-c446-4a6c-a927-43ff79b288b3,1703808000000,
62810050,,62810050,2024-10-24 04:58:50.931,2024-10-24 04:58:50.931,11,1,eyJR0JcLIT,com.sec.android.app.shealth,90586be3-1a0b-4db8-ab80-f13eb81a29b2,1710720000000,
62810050,,62810050,2024-10-24 04:58:50.943,2024-10-24 04:58:50.943,5,1,eyJR0JcLIT,com.sec.android.app.shealth,d3d6345b-8611-4365-8713-7178eb469cf1,1714176000000,
62810050,,62810050,2024-10-24 04:58:50.955,2024-10-24 04:58:50.955,2,1,eyJR0JcLIT,com.sec.android.app.shealth,25497e61-7cb2-4602-b2e5-503d7cfe9601,1717632000000,
62810050,,62810050,2024-10-24 04:58:50.967,2024-10-24 04:58:50.967,1,1,eyJR0JcLIT,com.sec.android.app.shealth,591402e0-c202-4382-b8c2-1a725635d4b7,1699747200000,
62810050,,62810050,2024-10-24 04:58:50.975,2024-10-24 04:58:50.975,1,1,eyJR0JcLIT,com.sec.android.app.shealth,15eb20de-4c06-4663-a3b1-753617aa7d49,1720483200000,
62810050,,62810050,2024-10-24 04:58:50.995,2024-10-24 04:58:50.995,13,1,eyJR0JcLIT,com.sec.android.app.shealth,8f9bbbfb-ec18-4ddb-a637-80efd90b2405,1706659200000,
62810050,,62810050,2024-10-24 04:58:51.008,2024-10-24 04:58:51.008,1,1,eyJR0JcLIT,com.sec.android.app.shealth,764f2140-4c58-4796-abf0-4a25d92e1ef0,1703203200000,
