com.samsung.health.sleep_stage,6302031,7
create_sh_ver,start_time,sleep_id,custom,modify_sh_ver,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
,2023-08-15 11:08:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.805,2023-08-15 11:55:28.805,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:09:00.000,551b15e9-006b-4685-afde-706f840b7e4c,
,2023-08-15 11:09:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.805,2023-08-15 11:55:28.805,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:12:00.000,7e30a713-cd24-498b-b078-81a4b052447d,
,2023-08-15 11:12:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.805,2023-08-15 11:55:28.805,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:13:00.000,a0a6abd7-c141-4d97-9b5a-92cc97e2795f,
,2023-08-15 11:13:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.805,2023-08-15 11:55:28.805,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:14:00.000,dd8f8172-52b3-41aa-8515-6e7a3a532cf7,
,2023-08-15 11:14:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.806,2023-08-15 11:55:28.806,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:22:00.000,83326ffb-b208-4e38-b309-b82b75e660c4,
,2023-08-15 11:22:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.806,2023-08-15 11:55:28.806,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:23:00.000,cb16d97c-a77d-460f-ab68-7451f9ba0b35,
,2023-08-15 11:23:00.000,ca4a0dbf-d7ec-44bf-9fc0-d06d66bb76eb,,,2023-08-15 11:55:28.806,2023-08-15 11:55:28.806,40004,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-15 11:54:00.000,d9816046-2119-4676-9ee3-3d9303ae7ee9,
,2023-08-17 07:10:00.000,accb7a78-4d59-4138-a8d1-0ebcac338e32,,,2023-08-17 13:11:58.313,2023-08-17 13:11:58.313,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-17 07:48:00.000,8b72f171-5a4d-495e-9ed7-324fbe967783,
,2023-08-17 07:48:00.000,accb7a78-4d59-4138-a8d1-0ebcac338e32,,,2023-08-17 13:11:58.314,2023-08-17 13:11:58.314,40003,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-17 07:53:00.000,45de5d77-dd68-427e-9c45-283a5898a44d,
,2023-08-17 07:53:00.000,accb7a78-4d59-4138-a8d1-0ebcac338e32,,,2023-08-17 13:11:58.314,2023-08-17 13:11:58.314,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-17 07:54:00.000,14c64b7b-ff4b-4231-9e23-b84ba9af66f3,
,2023-08-17 07:54:00.000,accb7a78-4d59-4138-a8d1-0ebcac338e32,,,2023-08-17 13:11:58.314,2023-08-17 13:11:58.314,40001,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-17 07:55:00.000,d9351db2-ad45-4683-9940-69e98cc8df32,
,2023-08-17 07:55:00.000,accb7a78-4d59-4138-a8d1-0ebcac338e32,,,2023-08-17 13:11:58.314,2023-08-17 13:11:58.314,40002,UTC-0400,KKMhhPrdKR,com.sec.android.app.shealth,2023-08-17 08:10:00.000,badd0da0-727d-4e71-b9ed-dfbdade963f3,
