com.samsung.shealth.report,6302031,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1694923200000,2023-09-24 19:34:54.781,2023-09-24 19:34:54.781,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,142af7d6-dc48-4a00-bc6a-1307157481b2,142af7d6-dc48-4a00-bc6a-1307157481b2.compressed_content.json,
America/New_York,1695528000000,2023-10-01 19:34:52.798,2023-10-01 19:34:52.798,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,57c831e6-9bad-44be-933e-c64639b48f86,57c831e6-9bad-44be-933e-c64639b48f86.compressed_content.json,
America/New_York,1696132800000,2023-10-08 19:36:35.090,2023-10-08 19:36:35.090,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,6f1c7fe1-9903-4ceb-be48-72a13b3af5df,6f1c7fe1-9903-4ceb-be48-72a13b3af5df.compressed_content.json,
America/New_York,1696737600000,2023-10-15 19:36:58.188,2023-10-15 19:36:58.188,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,760374a1-7d69-4685-9603-90bc43047f5b,760374a1-7d69-4685-9603-90bc43047f5b.compressed_content.json,
America/New_York,1697342400000,2023-10-22 19:34:47.834,2023-10-22 19:34:47.834,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,e7168dd2-b104-462a-93a2-78f640cc3d87,e7168dd2-b104-462a-93a2-78f640cc3d87.compressed_content.json,
America/New_York,1697947200000,2023-10-29 19:36:19.534,2023-10-29 19:36:19.534,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,991b705a-a3d0-4020-9a11-828d2b137132,991b705a-a3d0-4020-9a11-828d2b137132.compressed_content.json,
America/New_York,1698552000000,2023-11-05 20:43:07.534,2023-11-05 20:43:07.534,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,264b6da1-7b30-4669-98cc-8ae328ee944d,264b6da1-7b30-4669-98cc-8ae328ee944d.compressed_content.json,
America/New_York,1699156800000,2023-11-12 20:39:37.575,2023-11-12 20:39:37.575,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,e6d6c87f-783e-42ef-a8fc-95ff8a1e793d,e6d6c87f-783e-42ef-a8fc-95ff8a1e793d.compressed_content.json,
America/New_York,1699765200000,2023-11-19 20:35:09.355,2023-11-19 20:35:09.355,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,3325818e-dc7a-4078-bba5-1b3dda7f3eec,3325818e-dc7a-4078-bba5-1b3dda7f3eec.compressed_content.json,
America/New_York,1700370000000,2023-11-26 20:34:46.574,2023-11-26 20:34:46.574,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,5c65350c-f0a6-4b23-9ffc-e699eb5bac98,5c65350c-f0a6-4b23-9ffc-e699eb5bac98.compressed_content.json,
America/New_York,1700974800000,2023-12-03 20:35:02.329,2023-12-03 20:35:02.329,0,0,3,KKMhhPrdKR,X,com.sec.android.app.shealth,a23f70ce-de6f-4e55-abb9-f0110239e202,a23f70ce-de6f-4e55-abb9-f0110239e202.compressed_content.json,
