com.samsung.health.hrv,6302031,1
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
62900571,2025-01-27 11:00:00.000,,a09153fe-4154-4783-bdcf-210e0776f48f.binning_data.json,62900571,2025-01-27 12:05:55.444,2025-01-27 12:05:55.444,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 12:00:00.000,a09153fe-4154-4783-bdcf-210e0776f48f,
62900571,2025-01-27 12:00:00.000,,4f18bc93-e858-44fc-a38f-8c1412946bab.binning_data.json,62900571,2025-01-27 12:45:16.993,2025-01-27 12:45:16.993,UTC-0500,uAWUqdMJDI,,com.sec.android.app.shealth,2025-01-27 12:45:16.845,4f18bc93-e858-44fc-a38f-8c1412946bab,
62970091,2025-05-13 17:00:00.000,,b375b158-2ca1-424c-ad72-eef14ad6293f.binning_data.json,62970091,2025-05-13 17:48:49.033,2025-05-13 17:48:49.033,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-13 17:48:48.956,b375b158-2ca1-424c-ad72-eef14ad6293f,
62970091,2025-05-18 03:00:00.000,,3088b34a-6e14-40bb-92d5-1e8cc9769967.binning_data.json,62970091,2025-05-18 04:14:59.419,2025-05-18 04:14:59.419,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 04:00:00.000,3088b34a-6e14-40bb-92d5-1e8cc9769967,
62970091,2025-05-18 04:00:00.000,,7fd00a25-6f26-4ea4-a8d8-13fb8f0b40cf.binning_data.json,62970091,2025-05-18 05:14:59.333,2025-05-18 05:14:59.333,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 05:00:00.000,7fd00a25-6f26-4ea4-a8d8-13fb8f0b40cf,
62970091,2025-05-18 05:00:00.000,,e703d762-ec30-4024-9a79-cc4daaf7cf15.binning_data.json,62970091,2025-05-18 06:14:59.617,2025-05-18 06:14:59.617,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 06:00:00.000,e703d762-ec30-4024-9a79-cc4daaf7cf15,
62970091,2025-05-18 06:00:00.000,,8bfcb77f-3968-4456-aae4-759b1f2b0045.binning_data.json,62970091,2025-05-18 07:14:59.624,2025-05-18 07:14:59.624,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 07:00:00.000,8bfcb77f-3968-4456-aae4-759b1f2b0045,
62970091,2025-05-18 07:00:00.000,,2d16e6c6-5e4a-47b4-9e32-92607cbaddfa.binning_data.json,62970091,2025-05-18 08:05:32.628,2025-05-18 08:05:32.628,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 08:00:00.000,2d16e6c6-5e4a-47b4-9e32-92607cbaddfa,
62970091,2025-05-18 08:00:00.000,,e0eadbef-a596-42a1-a51b-afa0cc1d1f83.binning_data.json,62970091,2025-05-18 09:15:00.238,2025-05-18 09:15:00.238,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 09:00:00.000,e0eadbef-a596-42a1-a51b-afa0cc1d1f83,
62970091,2025-05-18 09:00:00.000,,dfeaa6d7-f18b-4546-b654-ea524922bd6c.binning_data.json,62970091,2025-05-18 10:05:56.329,2025-05-18 10:05:56.329,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 10:00:00.000,dfeaa6d7-f18b-4546-b654-ea524922bd6c,
62970091,2025-05-18 10:00:00.000,,00f06036-ee1a-47fe-aec2-2142d29e25c2.binning_data.json,62970091,2025-05-18 11:11:21.624,2025-05-18 11:11:21.624,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 11:00:00.000,00f06036-ee1a-47fe-aec2-2142d29e25c2,
62970091,2025-05-18 11:00:00.000,,14f63d1d-f377-466c-a772-1a231a54cedd.binning_data.json,62970091,2025-05-18 12:06:59.321,2025-05-18 12:06:59.321,UTC-0400,uAWUqdMJDI,,com.sec.android.app.shealth,2025-05-18 12:00:00.000,14f63d1d-f377-466c-a772-1a231a54cedd,
